box #,latfloor,latceiling,depthceiling,depthfloor,dCo_mean_obs,O2_mean_obs,PO4_mean_obs,dCo_mean_model,O2_mean_model,PO4_mean_model
149,-17,-16,2000,2500,,,,42.076837221781396,156.274388631185,2.6337780157725
150,-17,-16,2500,3000,,,,42.713749567667605,177.52227274576802,2.55982400973638
151,-17,-16,3000,3500,,,,44.088358879089405,197.750822703044,2.48465297619502
152,-17,-16,3500,4000,,,,45.8084583282471,211.74030939738,2.43888107935588
153,-17,-16,4000,4500,,,,,,
154,-17,-16,4500,5000,,,,,,
155,-17,-16,5000,5500,,,,,,
156,-16,-15,0,10,,,,3.9713171919186903,199.758234659831,0.14921652153134302
157,-16,-15,10,20,,,,3.9713169336319,199.758235931396,0.14921652277310699
158,-16,-15,20,30,,,,3.97377824783325,199.826895395915,0.149216953665018
159,-16,-15,30,40,,,,4.01669323444366,200.556171417236,0.14899938305219002
160,-16,-15,40,50,,,,4.033152381579081,202.250640869141,0.149588649471601
161,-16,-15,50,60,,,,3.88509990771612,203.758431752523,0.151366546750069
162,-16,-15,60,70,,,,3.59989736477534,204.870295206706,0.15364094947775198
163,-16,-15,70,80,,,,3.46223197380702,205.949434916178,0.156069740653038
164,-16,-15,80,90,,,,3.3109753727912903,207.481053670247,0.15964379534125303
165,-16,-15,90,100,,,,3.1985361178716003,209.521943410238,0.163918392111858
166,-16,-15,100,110,,,,3.1311247547467596,211.871713002523,0.16748762130737302
167,-16,-15,110,120,,,,3.1697519421577502,214.159088134766,0.17087673892577498
168,-16,-15,120,135,,,,3.3754663864771497,215.287071228027,0.180732488632202
169,-16,-15,135,150,,,,3.91790121793747,213.869639078776,0.207894954830408
170,-16,-15,150,175,,,,5.459008018175759,210.143246968587,0.250909395515919
171,-16,-15,175,200,,,,7.723901987075809,206.152360280355,0.300567612051964
172,-16,-15,200,250,,,,10.3511569499969,202.37353515625,0.37104179958502503
173,-16,-15,250,300,,,,15.7661486466726,194.46518325805698,0.5810069541136421
174,-16,-15,300,500,,,,27.1033285458883,178.992477416992,1.13964738448461
175,-16,-15,500,700,,,,35.321249008178704,167.483477274577,1.75953592856725
176,-16,-15,700,1000,,,,39.3229742050171,147.649269104004,2.23215750853221
177,-16,-15,1000,1250,,,,41.2724809646606,132.036944071452,2.54091552893321
178,-16,-15,1250,1500,,,,41.918137868245395,129.792929331462,2.6662353674570696
179,-16,-15,1500,2000,,,,42.018997510274296,138.853982289632,2.6760368744532297
180,-16,-15,2000,2500,,,,42.1445763905843,155.564299265544,2.63876225550969
181,-16,-15,2500,3000,,,,42.7479467391968,176.66866683959998,2.56567869583766
182,-16,-15,3000,3500,,,,44.20267391204829,197.48067347208698,2.49010721842448
183,-16,-15,3500,4000,,,,45.759474754333496,209.65339533488,2.4509962002436296
184,-16,-15,4000,4500,,,,,,
185,-16,-15,4500,5000,,,,,,
186,-16,-15,5000,5500,,,,,,
187,-15,-14,0,10,3.716033303,,0.12,3.9713171919186903,199.758234659831,0.14921652153134302
188,-15,-14,10,20,,,,3.9713169336319,199.758235931396,0.14921652277310699
189,-15,-14,20,30,3.5445298419999998,196.5,0.11,3.97377824783325,199.826895395915,0.149216953665018
190,-15,-14,30,40,,,,4.01669323444366,200.556171417236,0.14899938305219002
191,-15,-14,40,50,,,,4.033152381579081,202.250640869141,0.149588649471601
192,-15,-14,50,60,,,,3.88509990771612,203.758431752523,0.151366546750069
193,-15,-14,60,70,5.550115817000001,199.7,0.09,3.59989736477534,204.870295206706,0.15364094947775198
194,-15,-14,70,80,,,,3.46223197380702,205.949434916178,0.156069740653038
195,-15,-14,80,90,,,,3.3109753727912903,207.481053670247,0.15964379534125303
196,-15,-14,90,100,,,,3.1985361178716003,209.521943410238,0.163918392111858
197,-15,-14,100,110,1.112177695,201.2,0.11,3.1311247547467596,211.871713002523,0.16748762130737302
198,-15,-14,110,120,,,,3.1697519421577502,214.159088134766,0.17087673892577498
199,-15,-14,120,135,,,,3.3754663864771497,215.287071228027,0.180732488632202
200,-15,-14,135,150,0.0,189.6,0.18,3.91790121793747,213.869639078776,0.207894954830408
201,-15,-14,150,175,0.826312742,180.4,0.24,5.459008018175759,210.143246968587,0.250909395515919
202,-15,-14,175,200,13.70000552,176.5,0.3,7.723901987075809,206.152360280355,0.300567612051964
203,-15,-14,200,250,11.72084178,175.4,0.32,10.3511569499969,202.37353515625,0.37104179958502503
204,-15,-14,250,300,12.75321284,174.8,0.54,15.7661486466726,194.46518325805698,0.5810069541136421
205,-15,-14,300,500,41.328059154,128.59999999999997,1.5239999999999998,27.1033285458883,178.992477416992,1.13964738448461
206,-15,-14,500,700,18.97474892,134.5,2.11,35.321249008178704,167.483477274577,1.75953592856725
207,-15,-14,700,1000,41.11553011,141.1,2.3449999999999998,39.3229742050171,147.649269104004,2.23215750853221
208,-15,-14,1000,1250,36.30727118,131.0,2.53,41.2724809646606,132.036944071452,2.54091552893321
209,-15,-14,1250,1500,,,,41.918137868245395,129.792929331462,2.6662353674570696
210,-15,-14,1500,2000,31.94362413,139.0,2.52,42.018997510274296,138.853982289632,2.6760368744532297
211,-15,-14,2000,2500,23.14112665,148.2,2.42,42.1445763905843,155.564299265544,2.63876225550969
212,-15,-14,2500,3000,22.15409701,151.6,2.41,42.7479467391968,176.66866683959998,2.56567869583766
213,-15,-14,3000,3500,17.90021694,161.1,2.37,44.20267391204829,197.48067347208698,2.49010721842448
214,-15,-14,3500,4000,24.14230803,176.3,2.39,45.759474754333496,209.65339533488,2.4509962002436296
215,-15,-14,4000,4500,,,,,,
216,-15,-14,4500,5000,22.04352373,190.8,2.315,,,
217,-15,-14,5000,5500,,,,,,
218,-14,-13,0,10,,,,3.20345695813497,198.91096496582,0.159465874234835
219,-14,-13,10,20,,,,3.20345701773961,198.910963694255,0.159465874234835
220,-14,-13,20,30,,,,3.20642179250717,198.94448471069302,0.159480883429448
221,-14,-13,30,40,,,,3.27068108320236,199.414325714111,0.15955011919140802
222,-14,-13,40,50,,,,3.4205459753672303,200.882165273031,0.16027740637461302
223,-14,-13,50,60,,,,3.38164172569911,202.444044748942,0.162051536142826
224,-14,-13,60,70,,,,3.26713343461355,203.673020680745,0.164164535701275
225,-14,-13,70,80,,,,3.27714347839355,204.85840733846,0.16657098879416798
226,-14,-13,80,90,,,,3.28291920820872,206.531349182129,0.17023759707808497
227,-14,-13,90,100,,,,3.30707802375158,208.758550008138,0.17471139505505598
228,-14,-13,100,110,,,,3.36540643374125,211.308527628581,0.178654583791892
229,-14,-13,110,120,,,,3.5099584658940604,213.833138783773,0.183038865526517
230,-14,-13,120,135,,,,3.84286367893219,214.980827331543,0.19611611093084
231,-14,-13,135,150,,,,4.66340394814809,213.55348332723,0.22627858817577398
232,-14,-13,150,175,,,,6.6001283725102695,209.78326288858997,0.27349509298801394
233,-14,-13,175,200,,,,9.05507445335388,205.027765909831,0.333136717478434
234,-14,-13,200,250,,,,12.097631533940598,199.412745157878,0.4311163599292439
235,-14,-13,250,300,,,,18.6920787493388,187.29478963216098,0.713467255234718
236,-14,-13,300,500,,,,29.755113601684602,168.99192555745398,1.28645126024882
237,-14,-13,500,700,,,,36.7605126698812,156.89962387084998,1.8631020784378098
238,-14,-13,700,1000,,,,40.0332152048747,140.284704844157,2.29083573818207
239,-14,-13,1000,1250,,,,41.592582066853794,128.29961140950502,2.5636916359265602
240,-14,-13,1250,1500,,,,42.098782539367704,127.513722101847,2.67489157120387
241,-14,-13,1500,2000,,,,42.1403713226318,137.628056844076,2.6813442111015298
242,-14,-13,2000,2500,,,,42.2159884770711,154.990206400553,2.64322177569071
243,-14,-13,2500,3000,,,,42.7856728235881,175.89246622721402,2.57117589314779
244,-14,-13,3000,3500,,,,44.28682486216229,197.162932078044,2.494972884655
245,-14,-13,3500,4000,,,,46.1807260513306,211.519938151042,2.44939380884171
246,-14,-13,4000,4500,,,,48.54297542572021,222.49494298299197,2.423659324646
247,-14,-13,4500,5000,,,,49.82115491231279,227.622437795003,2.4120797316233302
248,-14,-13,5000,5500,,,,,,
249,-13,-12,0,10,0.0,,,3.20345695813497,198.91096496582,0.159465874234835
250,-13,-12,10,20,,,,3.20345701773961,198.910963694255,0.159465874234835
251,-13,-12,20,30,0.0,198.2,0.12,3.20642179250717,198.94448471069302,0.159480883429448
252,-13,-12,30,40,,,,3.27068108320236,199.414325714111,0.15955011919140802
253,-13,-12,40,50,,,,3.4205459753672303,200.882165273031,0.16027740637461302
254,-13,-12,50,60,,,,3.38164172569911,202.444044748942,0.162051536142826
255,-13,-12,60,70,12.21699381,199.6,0.14,3.26713343461355,203.673020680745,0.164164535701275
256,-13,-12,70,80,,,,3.27714347839355,204.85840733846,0.16657098879416798
257,-13,-12,80,90,,,,3.28291920820872,206.531349182129,0.17023759707808497
258,-13,-12,90,100,,,,3.30707802375158,208.758550008138,0.17471139505505598
259,-13,-12,100,110,,,,3.36540643374125,211.308527628581,0.178654583791892
260,-13,-12,110,120,9.172637805,185.5,0.19,3.5099584658940604,213.833138783773,0.183038865526517
261,-13,-12,120,135,,,,3.84286367893219,214.980827331543,0.19611611093084
262,-13,-12,135,150,,,,4.66340394814809,213.55348332723,0.22627858817577398
263,-13,-12,150,175,10.7190076,169.3,0.33,6.6001283725102695,209.78326288858997,0.27349509298801394
264,-13,-12,175,200,,,,9.05507445335388,205.027765909831,0.333136717478434
265,-13,-12,200,250,14.02671375,173.6,0.38,12.097631533940598,199.412745157878,0.4311163599292439
266,-13,-12,250,300,18.50782419,171.4,0.54,18.6920787493388,187.29478963216098,0.713467255234718
267,-13,-12,300,500,30.79023779,111.15,1.7149999999999999,29.755113601684602,168.99192555745398,1.28645126024882
268,-13,-12,500,700,40.76576966499999,129.4,2.09,36.7605126698812,156.89962387084998,1.8631020784378098
269,-13,-12,700,1000,34.04923087,121.2,2.41,40.0332152048747,140.284704844157,2.29083573818207
270,-13,-12,1000,1250,46.24426231,113.1,2.56,41.592582066853794,128.29961140950502,2.5636916359265602
271,-13,-12,1250,1500,,,,42.098782539367704,127.513722101847,2.67489157120387
272,-13,-12,1500,2000,,,,42.1403713226318,137.628056844076,2.6813442111015298
273,-13,-12,2000,2500,,,,42.2159884770711,154.990206400553,2.64322177569071
274,-13,-12,2500,3000,,,,42.7856728235881,175.89246622721402,2.57117589314779
275,-13,-12,3000,3500,,,,44.28682486216229,197.162932078044,2.494972884655
276,-13,-12,3500,4000,,,,46.1807260513306,211.519938151042,2.44939380884171
277,-13,-12,4000,4500,,,,48.54297542572021,222.49494298299197,2.423659324646
278,-13,-12,4500,5000,,,,49.82115491231279,227.622437795003,2.4120797316233302
279,-13,-12,5000,5500,,,,,,
280,-12,-11,0,10,,,,2.93991057078044,198.474102020264,0.162983123213053
281,-12,-11,10,20,,,,2.93991061051687,198.47410329182898,0.162983123213053
282,-12,-11,20,30,,,,2.94034969806671,198.48740641276,0.162993916620811
283,-12,-11,30,40,,,,2.95010447502136,198.671454111735,0.163189249734084
284,-12,-11,40,50,,,,2.98471524318059,199.482796986898,0.164174515753984
285,-12,-11,50,60,,,,2.9625430504481,201.15832265218103,0.1666006334126
286,-12,-11,60,70,,,,2.98464639981588,202.709887186686,0.169443114350239
287,-12,-11,70,80,,,,3.0691077907880095,204.284576416016,0.17293336490789998
288,-12,-11,80,90,,,,3.19608010848363,206.34118398030603,0.17770059034228303
289,-12,-11,90,100,,,,3.35968627532323,208.740314483643,0.18254058683911997
290,-12,-11,100,110,,,,3.5681341489156098,211.50593439738,0.18693594137827602
291,-12,-11,110,120,,,,3.87896335124969,214.420019785563,0.191821156690518
292,-12,-11,120,135,,,,4.45965798695882,215.966910044352,0.206656917929649
293,-12,-11,135,150,,,,5.7338627576828,213.93226242065398,0.24488808463017103
294,-12,-11,150,175,,,,8.161095102628071,208.974189758301,0.30515975008408197
295,-12,-11,175,200,,,,11.007992029190099,202.23322677612302,0.387420045832793
296,-12,-11,200,250,,,,14.8472808996836,193.56351089477502,0.534425770243009
297,-12,-11,250,300,,,,22.5027720133464,177.70266977946,0.886728460590045
298,-12,-11,300,500,,,,32.3907095591227,159.398915608724,1.43477878967921
299,-12,-11,500,700,,,,37.938029607137,148.218476613363,1.94822748502096
300,-12,-11,700,1000,,,,40.5815331141154,134.437636057536,2.3326658010482797
301,-12,-11,1000,1250,,,,41.8673594792684,125.069272994995,2.58040678501129
302,-12,-11,1250,1500,,,,42.2716404596964,125.38471921285,2.68264142672221
303,-12,-11,1500,2000,,,,42.2591301600138,136.495278676351,2.68617864449819
304,-12,-11,2000,2500,,,,42.2873903910319,154.612631479899,2.64675945043564
305,-12,-11,2500,3000,,,,42.8213535944621,175.201351165771,2.57602266470591
306,-12,-11,3000,3500,,,,44.3608322143555,196.996508280436,2.49851471185684
307,-12,-11,3500,4000,,,,46.257920265197804,211.055651346842,2.45439986387889
308,-12,-11,4000,4500,,,,48.5247014363607,221.95507176717098,2.42707035938899
309,-12,-11,4500,5000,,,,50.203330993652294,228.95318222045898,2.4101059238115896
310,-12,-11,5000,5500,,,,,,
311,-11,-10,0,10,0.0,,0.19,3.0281077623367296,198.24107742309602,0.16359962026278196
312,-11,-10,10,20,,,,3.0281077623367296,198.24107742309602,0.16359962150454502
313,-11,-10,20,30,0.0,198.8,0.19,3.0281077623367296,198.24107869466098,0.16359962522983598
314,-11,-10,30,40,,,,3.02725146214167,198.2733446757,0.163632263739904
315,-11,-10,40,50,,,,3.01346451044083,198.508689880371,0.163936052471399
316,-11,-10,50,60,10.22932243,196.9,0.18,2.9637959400812797,199.5624071757,0.165615589668353
317,-11,-10,60,70,,,,2.9687032500902797,201.25796127319302,0.168728247284889
318,-11,-10,70,80,4.083006323999999,198.4,0.18,3.0412698189417497,203.321264902751,0.17346085732181898
319,-11,-10,80,90,,,,3.21262800693512,205.619468688965,0.17900756870706896
320,-11,-10,90,100,,,,3.4598634243011497,208.229470570882,0.184951814512412
321,-11,-10,100,110,14.10232154,172.0,0.27,3.80321594079336,211.21597544352198,0.19101593643426898
322,-11,-10,110,120,,,,4.33132565021515,214.218785603841,0.19960462301969503
323,-11,-10,120,135,12.64725376,165.9,0.37,5.29304111003876,214.78836186726897,0.226595710963011
324,-11,-10,135,150,,,,7.06656448046366,212.25112024943002,0.275989952186743
325,-11,-10,150,175,22.06166676,159.3,0.46,10.065742572148599,205.61945724487302,0.35557845234870894
326,-11,-10,175,200,,,,13.5160535176595,196.675496419271,0.469756091634432
327,-11,-10,200,250,18.36870132,152.9,0.74,18.3969397544861,184.885345458984,0.6768147101004921
328,-11,-10,250,300,,,,26.438196500142396,167.437999725342,1.06918686628342
