,Cruise,Station,Latitude,Longitude,Sample #,Date Sampled,DEPTH [m],Stn-depth,dCo [pM],LdCo [pM],dZn [nmol/kg],CTDPRS [dbar],CTDTMP,CTDOXY [umol/kg],CTDFLUOR,CTDXMISS,CTDSAL,Salinity,Silicate [umol/kg],Phosphate [umol/kg],Nitrate [umol/kg],Nitrite [umol/kg],Density,dZn [nM],Silicate [uM],Phosphate [uM],Nitrate [uM],Nitrite [uM],Sigma0 [kg/m3]
586,GP15,33.0,-5.000430000000001,-152.00025,15228,43417,900,33-900,54.79930379,11.07770971,4.181199082,905.1,5.0648,87.6,0.001,4.713,34.5392,34.5385,67.92,2.72,38.33,0.0,1.0314633276439762,4.312753518661658,70.05698921357886,2.8055802511916155,39.5359893485936,0.0,27.317389677661595
587,GP15,33.0,-5.000430000000001,-152.00025,15224,43417,1200,33-1200,37.55655866,9.245295417000001,,1208.0,3.8964,98.9,0.001,4.715,34.561,34.5601,90.3,2.75,38.3,0.0,1.033016243971599,,93.28136683063539,2.8407946709218974,39.56452214411224,0.0,27.464831201553352
588,GP15,33.0,-5.000430000000001,-152.00025,15220,43417,1600,33-1600,35.96492426,,,1613.9,2.7732,107.0,0.001,4.716,34.6126,34.6098,120.1,2.77,38.54,0.0,1.0350476559050907,,124.30922347420139,2.8670820068571015,39.8907366585822,0.0,27.61603592803226
589,GP15,33.0,-5.000430000000001,-152.00025,15180,43417,2000,33-2000,28.68074378,0.0,,2019.5,2.3376,110.7,0.001,4.713,34.6389,34.6374,134.85,2.69,38.3,0.0,1.0369594800697188,,139.83398588740158,2.789421001387544,39.715548086670225,0.0,27.67749560609036
590,GP15,33.0,-5.000430000000001,-152.00025,15176,43417,2500,33-2500,28.85235347,,,2527.0,1.9306,129.4,0.001,4.715,34.6616,34.6627,138.56,2.57,37.05,0.0,1.0393100456368365,,144.00679992344007,2.67102681728667,38.50643719084479,0.0,27.731471747873456
591,GP15,33.0,-5.000430000000001,-152.00025,15172,43417,3000,33-3000,25.33962216,0.0,,3035.9,1.6952,144.8,0.001,4.717,34.6773,34.6769,140.02,2.46,36.12,0.0,1.0416183272990995,,145.84739818841993,2.562381085155785,37.62325398204347,0.0,27.764966900041372
592,GP15,33.0,-5.000430000000001,-152.00025,15168,43417,4000,33-4000,26.54263565,,,4058.6,1.39,172.8,0.001,4.72,34.6966,34.6942,132.89,2.33,34.22,0.0,1.0461591329580555,,139.02408717879598,2.4375507797922693,35.79956552982466,0.0,27.808345424511344
593,GP15,33.0,-5.000430000000001,-152.00025,15164,43417,5175,33-5175,31.27007407,,,5265.2,1.3744,187.3,0.001,4.721,34.7025,34.7011,125.27,2.24,33.09,0.0,1.0513268204423354,,131.69971079681136,2.3549720777908316,34.78840448843688,0.0,27.822507082035372
594,GP15,33.0,-5.000430000000001,-152.00025,15160,43417,5295,33-5295,38.19504231,0.0,,5390.3,1.3897,187.3,0.001,4.721,34.7025,34.6894,134.94,2.35,34.73,0.0,1.0518512506453517,,141.93680776208376,2.4718504390165768,36.53079393491306,0.0,27.822526224352487
595,GP15,34.0,-7.50002,-151.99999,15267,43419,2,34-2,7.831929161000001,,0.148370115,2.0,28.6396,197.4,0.005,4.624,35.6422,35.6784,0.78,0.35,3.15,0.07,1.022675631780096,0.1517345010949105,0.7976869927884749,0.35793647112303356,3.2214282401073024,0.07158729422460673,22.666977599854704
